,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,APOG,Apogee Enterprises Inc,2020-09-17T12:30:00.000Z,BMO,0.3,,,EDT,-14400000.0,EQUITY
1,BGGSQ,Briggs & Stratton Corp,2020-09-17T12:30:00.000Z,BMO,-0.67,,,EDT,-14400000.0,EQUITY
2,CMD,Cantel Medical Corp,2020-09-17T12:30:00.000Z,BMO,-0.01,,,EDT,-14400000.0,EQUITY
3,TY,Tri-Continental Corp,2020-09-17T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
4,WB,Weibo Corp,2020-09-17T12:30:00.000Z,BMO,0.46,,,EDT,-14400000.0,EQUITY
5,DFODQ,Dean Foods Co,2020-09-17T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
6,FLR,Fluor Corp,2020-09-17T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
7,GEC,Great Elm Capital Group Inc,2020-09-17T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
8,FONR,Fonar Corp,2020-09-17T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
9,PGR,Progressive Corp,2020-09-17T12:30:00.000Z,BMO,1.73,1.84,6.36,EDT,-14400000.0,EQUITY
10,SINA,SINA Corp,2020-09-17T12:30:00.000Z,BMO,0.43,,,EDT,-14400000.0,EQUITY
11,GNCIQ,GNC Holdings Inc,2020-09-17T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
12,ISR,IsoRay Inc,2020-09-17T16:30:00.000Z,TAS,-0.01,,,EDT,-14400000.0,EQUITY
13,ISR,IsoRay Inc,2020-09-17T20:00:00.000Z,AMC,-0.01,,,EDT,-14400000.0,EQUITY
14,SMRTQ,Stein Mart Inc,2020-09-17T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
15,KTRA,Kintara Therapeutics Inc,2020-09-17T12:30:00.000Z,BMO,-0.12,,,EDT,-14400000.0,EQUITY
16,BIMI,BOQI International Medical Inc,2020-09-18T16:27:00.000Z,TAS,,,,EDT,-14400000.0,EQUITY
17,TC,TuanChe Ltd,2020-09-18T08:00:00.000Z,TAS,-0.04,,,EDT,-14400000.0,EQUITY
18,TC,TuanChe Ltd,2020-09-18T12:30:00.000Z,BMO,-0.04,,,EDT,-14400000.0,EQUITY
19,WUBA,58.Com Inc,2020-09-21T20:00:00.000Z,AMC,0.65,,,EDT,-14400000.0,EQUITY
20,NFJ,Allianzgi Dividend Interest & Premium Strategy Fund,2020-09-21T16:05:00.000Z,TAS,,,,EDT,-14400000.0,EQUITY
21,AREXQ,Approach Resources Inc,2020-09-21T20:00:00.000Z,AMC,,,,EDT,-14400000.0,EQUITY
22,CMTL,Comtech Telecommunications Corp,2020-09-21T20:00:00.000Z,AMC,-0.13,,,EDT,-14400000.0,EQUITY
23,SCHL,Scholastic Corp,2020-09-21T16:00:00.000Z,TAS,-1.74,,,EDT,-14400000.0,EQUITY
24,EBF,Ennis Inc,2020-09-21T12:30:00.000Z,BMO,0.22,,,EDT,-14400000.0,EQUITY
25,SEGN,Success Entertainment Group International Inc,2020-09-21T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
26,PT,Pintec Technology Holdings Ltd,2020-09-21T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
27,PSV,Hermitage Offshore Services Ltd,2020-09-21T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
28,VVUSQ,Vivus Inc,2020-09-21T20:00:00.000Z,AMC,-0.55,,,EDT,-14400000.0,EQUITY
29,TRT,Trio-Tech International,2020-09-21T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
30,LOGQ,Logicquest Technology Inc,2020-09-21T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
31,QTT,Qutoutiao Inc,2020-09-21T20:00:00.000Z,AMC,-0.12,,,EDT,-14400000.0,EQUITY
32,AZO,Autozone Inc,2020-09-22T12:30:00.000Z,BMO,24.16,,,EDT,-14400000.0,EQUITY
33,NEOG,Neogen Corp,2020-09-22T12:30:00.000Z,BMO,0.27,,,EDT,-14400000.0,EQUITY
34,GVA,Granite Construction Inc,2020-09-22T15:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
35,SFIX,Stitch Fix Inc,2020-09-22T20:00:00.000Z,AMC,-0.16,,,EDT,-14400000.0,EQUITY
36,KBH,KB Home,2020-09-22T20:00:00.000Z,AMC,0.53,,,EDT,-14400000.0,EQUITY
37,SCS,Steelcase Inc,2020-09-22T20:00:00.000Z,AMC,0.37,,,EDT,-14400000.0,EQUITY
38,NKE,Nike Inc,2020-09-22T23:00:00.000Z,AMC,0.43,,,EDT,-14400000.0,EQUITY
39,MANU,Manchester United PLC,2020-09-22T12:30:00.000Z,BMO,-20.0,,,EDT,-14400000.0,EQUITY
40,PIR,Pier 1 Imports Inc,2020-09-23T14:59:00.000Z,TNS,,,,,,EQUITY
41,PIRRQ,Pier 1 Imports Inc,2020-09-23T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
42,JKS,JinkoSolar Holding Co Ltd,2020-09-23T12:30:00.000Z,BMO,0.61,,,EDT,-14400000.0,EQUITY
43,EMMS,Emmis Communications Corp,2020-09-23T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
44,CTAS,Cintas Corp,2020-09-23T12:30:00.000Z,BMO,2.11,,,EDT,-14400000.0,EQUITY
45,CNTG,Centogene NV,2020-09-23T12:30:00.000Z,BMO,-0.43,,,EDT,-14400000.0,EQUITY
46,FUL,HB Fuller Co,2020-09-23T20:00:00.000Z,AMC,0.7,,,EDT,-14400000.0,EQUITY
47,TNP,Tsakos Energy Navigation Ltd,2020-09-23T12:30:00.000Z,BMO,2.11,,,EDT,-14400000.0,EQUITY
48,GIS,General Mills Inc,2020-09-23T13:30:00.000Z,BMO,0.87,,,EDT,-14400000.0,EQUITY
49,WOR,Worthington Industries Inc,2020-09-23T12:30:00.000Z,BMO,0.44,,,EDT,-14400000.0,EQUITY
50,AIR,AAR Corp,2020-09-24T20:00:00.000Z,AMC,-0.03,,,EDT,-14400000.0,EQUITY
51,ACN,Accenture PLC,2020-09-24T12:30:00.000Z,BMO,1.73,,,EDT,-14400000.0,EQUITY
52,ATU,Actuant Corp,2020-09-24T16:30:00.000Z,BMO,,,,,,EQUITY
53,AEHR,Aehr Test Systems,2020-09-24T20:00:00.000Z,AMC,-0.03,,,EDT,-14400000.0,EQUITY
54,AYTU,Aytu BioScience Inc,2020-09-24T20:00:00.000Z,AMC,-0.03,,,EDT,-14400000.0,EQUITY
55,RAD,Rite Aid Corp,2020-09-24T08:30:00.000Z,TAS,0.0,,,EDT,-14400000.0,EQUITY
